Title,Link,Image,Author,Date,Description,Fake News
Deepfake Video Of S Jaishankar Promoting Dubious Investment Platform Goes Viral,https://newschecker.in/ai-deepfake/deepfake-video-of-s-jaishankar-promoting-dubious-investment-platform-goes-viral,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-26.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 26, 2025","Viral video found to be a deepfake, platform found to be untrustworthy.",TRUE
AI Generated Photos Of Kareena Kapoor And Sonakshi Sinha In Hijab Shared As Real,https://newschecker.in/ai-deepfake/ai-generated-photos-of-kareena-kapoor-and-sonakshi-sinha-in-hijab-shared-as-real,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-26T124922.939.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 26, 2025","A set of two photographs allegedly showing Bollywood actors Kareena Kapoor and Sonakshi Sinha in Hijab has surfaced on social media platforms. Newschecker, h...",FALSE
"Do These Photos Show KL Rahul & Athiya Shetty With Newborn Daughter? No, Viral Images Are AI-Generated",https://newschecker.in/ai-deepfake/do-these-photos-show-kl-rahul-athiya-shetty-with-newborn-daughter-no-viral-images-are-ai-generated,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-1-3.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 26, 2025",Photos of star Indian cricketer KL Rahul and actor Athiya Shetty with their baby girl at the hospital.,FALSE
Viral Video Does Not Show Blast At Pakistan Army Headquarters,https://newschecker.in/fact-check/viral-video-does-not-show-blast-at-pakistan-army-headquarters,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-25T152043.215.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 25, 2025","Several social media user shared a video claiming to show a massive blast at Pakistan army headquarters. Newschecker, however, found the claim to be untrue...",FALSE
IPL 2025: Viral Photo Of CSK Fan Holding Placard Abusing Aurangzeb Is Altered,https://newschecker.in/fact-check/ipl-2025-viral-photo-of-csk-fan-holding-placard-abusing-aurangzeb-is-altered,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-25T143235.113.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 25, 2025","Several social media users posted a photo claiming to show a CSK fan holding placard abusing Aurangzeb. Newschecker, however, found that the photo was edited...",FALSE
Viral Photo Claiming To Show Annamalai Holding ‘Go Back Grok’ Placard Is Edited,https://newschecker.in/fact-check/viral-photo-claiming-to-show-annamalai-holding-go-back-grok-placard-is-edited,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-25T133217.745.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 25, 2025","Several social media users shared a photo claiming to show Tamil BJP Chief Annamalai holding ‘Go Back Grok’ placard amid X-Centre row. Newschecker, however...",FALSE
AI-Edited Photo Of Gaza Woman Hugging Skeletal Remains Of Son Shared As Real,https://newschecker.in/fact-check/ai-edited-photo-of-gaza-woman-hugging-skeletal-remains-of-son-shared-as-real,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-25.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 25, 2025","A woman in Gaza hugging the remains of her son found amidst the rubble of her home devastated by an Israeli attack, after a year-long search.",FALSE
Fact Check: Woman Dancing in Viral Video Is Not Meerut Murder Accused Muskan Rastogi,https://newschecker.in/fact-check/viral-dance-video-does-not-feature-meerut-murder-accused-muskan-rastogi,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-24T162553.249.jpg?quality=71&format=webp&w=1920,Runjay Kumar,"March 24, 2025","Several social media users shared a video allegedly showing Meerut murder accused Muskan Rastogi performing an obscene dance. Newschecker, however, found the...",FALSE
2013 Video Of Sunita Williams Speaking About Bhagwad Gita Shared As Press Conference After Return From Space,https://newschecker.in/fact-check/2013-video-of-sunita-williams-speaking-about-bhagwad-gita-upanishads-shared-as-her-press-conference-after-return-from-space,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-24.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 24, 2025",Indian-origin NASA astronaut Sunita Williams at a press conference credits the Bhagwad Gita and the Upanishads for her safe return from her 9-month mission in,FALSE
"Weekly Wrap: Misinformation On Sunita Williams, Nagpur Violence & More",https://newschecker.in/fact-check/weekly-wrap-misinformation-on-sunita-williams-nagpur-violence-more,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-22T143750.958.jpg?quality=71&format=webp&w=1920,Newschecker Team,"March 22, 2025",From an unrelated video being shared to show NASA astronaut Sunita Williams celebrating after safely returning to Earth on March 19 to misinformation around...,FALSE
Deepfake Video Of Anant Ambani Promoting Gaming App Goes Viral,https://newschecker.in/ai-deepfake/deepfake-video-of-anant-ambani-promoting-gaming-app-goes-viral,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-21T162115.381.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 21, 2025","A video allegedly showing Anant Ambani promoting gaming app called 'Avi by Ambani' has surfaced on social media. Newschecker, however, found that the video...",TRUE
Are These ‘Kumbh From Space’ Photos Taken By Sunita Williams? Here’s A Fact-Check,https://newschecker.in/fact-check/are-these-kumbh-from-space-photos-taken-by-sunita-williams-heres-a-fact-check,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-23.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 21, 2025",“NASA astronaut Sunita Williams' sister-in-law Falguni Pandya said she was shown a photo of the Mahakumbh from the International Space Station (ISS). In an,FALSE
Viral Photo Does Not Show ‘Fresh-Faced’ Sunita Williams and Butch Wilmore After Their Return To Earth,https://newschecker.in/fact-check/viral-photo-does-not-show-fresh-faced-sunita-williams-and-butch-wilmore-after-their-return-to-earth,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-21T134101.203.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 21, 2025",Several social media users shared a photograph alleging to show NASA astronauts Sunita Williams and Butch Wilmore “fresh-faced and smiling” while exiting the...,FALSE
Viral Photo Claiming To Show Canadian PM & Tom Hanks On Epstein Island Is AI-Generated,https://newschecker.in/ai-deepfake/viral-photo-claiming-to-show-canadian-pm-tom-hanks-on-epstein-island-is-ai-generated,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-22.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 20, 2025","Canadian PM Mark Carney photographed with Ghislaine Maxwell, convicted of aiding sex offender Jeffrey Epstein, and actor Tom Hanks, on the infamous Epstein",FALSE
Viral Video Does Not Show Hindus In Nagpur Announcing A ‘Boycott’ Of Muslims,https://newschecker.in/fact-check/viral-video-does-not-show-hindus-in-nagpur-announcing-a-boycott-of-muslims,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-20T142948.144.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 20, 2025","A video allegedly showing a ""decision” by the Hindus in Nagpur to boycott the Muslim community members following the recent communal clashes in the city, has...",FALSE
2024 Video Of Sunita Williams’ Arrival At ISS Shared As Her Celebration After Returning To Earth,https://newschecker.in/fact-check/2024-video-of-sunita-williams-arrival-at-iss-shared-as-her-celebration-after-returning-to-earth,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-21.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 20, 2025","Indian-origin NASA astronaut Sunita Williams celebrates after safely returning to Earth on March 19 following an unexpected 9-month mission, the longest-ever",FALSE
Old Video From MP Shared To Claim Police Assaulting Muslims in Nagpur,https://newschecker.in/fact-check/old-video-from-mp-shared-to-claim-police-assaulting-muslims-in-nagpur,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-19T184535.568.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 19, 2025","A video claiming to show police personnel thrashing Muslims in Nagpur has surfaced on social media. Newschecker, however, found the claim to be untrue...",FALSE
Viral Photo Claiming To Show Sunita Williams With Donald Trump & Elon Musk Is AI-Generated,https://newschecker.in/ai-deepfake/viral-photo-claiming-to-show-sunita-williams-with-donald-trump-elon-musk-is-ai-generated,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-20.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 19, 2025",Photo of Indian-origin NASA astronaut Sunita Williams and her colleague Butch Wilmore with US President Donald Trump and SpaceX founder Elon Musk. The,FALSE
Nagpur Violence: Old Video Of Protest Against Attacks On Hindus In Bangladesh Shared As Recent,https://newschecker.in/fact-check/nagpur-violence-old-video-of-protest-against-attacks-on-hindus-in-bangladesh-shared-as-recent,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-19T130753.930.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 19, 2025","Several social media users shared a video showing a massive gathering wielding saffron flags, linking it to the recent Nagpur violence. Newschecker, however...",FALSE
Natural Intelligence Outsmarts AI? Viral Video Claiming To Show Robot Being Fooled By Human Is Edited,https://newschecker.in/ai-deepfake/natural-intelligence-outsmarts-ai-viral-video-claiming-to-show-robot-being-fooled-by-human-is-edited,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-1-2.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 19, 2025",An 18-second amusing video claiming to show a humanoid robot being fooled by a woman who steals its carry bag is doing the rounds of social media with users,FALSE
Viral Photos Of Nita Ambani Giving Bugatti To Rohit Sharma Are AI Generated,https://newschecker.in/ai-deepfake/viral-photos-of-nita-ambani-giving-bugatti-to-rohit-sharma-are-ai-generated,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-18T173807.786.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 18, 2025",Several social media users shared images allegedly showing Nita Ambani giving Bugatti to Rohit Sharma after Indian team won the ICC Champions Trophy. Newsch...,FALSE
"Muslim Cleric Appointed As UK’s Education Minister? No, Viral Claim Is Misleading",https://newschecker.in/fact-check/muslim-cleric-appointed-as-uks-education-minister-no-viral-claim-is-misleading,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-19.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 18, 2025","The current education secretary in England is Bridget Phillipson; Patel has been appointed as the interim chief of schools’ watchdog Ofsted, which works with the Department for Education.",TRUE
Holi Celebrations In China? Here’s The Truth Behind Viral Video,https://newschecker.in/fact-check/holi-celebrations-in-china-heres-the-truth-behind-viral-video,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-17T171914.165.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 17, 2025","Several social media user shared a 30-second-long-video claiming to show the Holi celebrations in China. Newschecker, however, found the claim to be untrue...",FALSE
"Muslim Man Killed By Hindus In Rajasthan For Not Playing Holi? No, Video Shared With False Claim",https://newschecker.in/fact-check/muslim-man-killed-by-hindus-in-rajasthan-for-not-playing-holi-no-video-shared-with-false-claim,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-17T165031.876.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 17, 2025","Several social media users shared a video claiming to show a Muslim man killed by Hindus in Rajasthan for refusing to play Holi. Newschecker, however, found...",TRUE
Viral Photo Claiming To Show Elon Musk With Daughter Who Beat Cancer Is AI-Generated,https://newschecker.in/ai-deepfake/viral-photo-claiming-to-show-elon-musk-with-daughter-who-beat-cancer-is-ai-generated,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-18.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 17, 2025",Photo of billionaire Elon Musk with his daughter after her successful five-year battle against cancer.,FALSE
Viral Video of PM Narendra Modi Wearing Skull Cap And Praying Is AI-Generated,https://newschecker.in/ai-deepfake/viral-video-of-pm-narendra-modi-wearing-skull-cap-and-praying-is-ai-generated,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-17.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 17, 2025","Video showing Prime Minister Narendra Modi wearing a skull cap and praying during the holy Islamic month of Ramadan, along with an audio of PM Modi praying to",FALSE
"Weekly Wrap: Misinformation On Pakistan Train Hijack, 2025 Champions Trophy & More",https://newschecker.in/fact-check/weekly-wrap-misinformation-on-pakistan-train-hijack-2025-champions-trophy-more,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-15T154150.490.jpg?quality=71&format=webp&w=1920,Newschecker Team,"March 15, 2025",From misinformation around the hijacking of the Jaffar Express in Pakistan by the Balochistan Liberation Army to false...,TRUE
"Was PM Modi Mocked During Mauritius Visit With Song On Inflation? No, Viral Video Is Edited",https://newschecker.in/fact-check/was-pm-modi-mocked-during-mauritius-visit-with-song-on-inflation-no-viral-video-is-edited,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-13T182440.236.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 13, 2025",Several social media users shared a video alleging that Prime Minister Narendra Modi was mocked during his recent Mauritius visit with song on inflation. New...,FALSE
Palestine Removed From Google Maps? Here’s The Truth Behind Viral Claim,https://newschecker.in/fact-check/palestine-removed-from-google-maps-heres-the-truth-behind-viral-claim,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-16.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 13, 2025",Google has removed Palestine in its latest update of Google Maps.,FALSE
Video Of Fire In Karachi Falsely Linked To Pakistan Train Hijack,https://newschecker.in/fact-check/video-of-fire-in-karachi-falsely-linked-to-pakistan-train-hijack,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-12T182418.578.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 12, 2025","Several social media users a video of massive smoke billowing over an area engulfed in fire linking it to the Pakistan train hijack. Newschecker, however, f...",TRUE
Pakistan Train Hijack: Viral Video Message By BLA Threatening China Is Old,https://newschecker.in/fact-check/pakistan-train-hijack-viral-video-message-by-bla-threatening-china-is-old,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-12T153021.900.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 12, 2025","Several social media users shared a video allegedly showing a statement by the BLA following the recent Pakistan train hijack. Newschecker, however, found th...",FALSE
2022 Video Of BLA Attack Goes Viral As Pakistan Train Hijack,https://newschecker.in/fact-check/2022-video-of-bla-attack-goes-viral-as-pakistan-train-hijack,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-15.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 12, 2025","A 59-second video of multiple explosions near a train has gone viral on social media, claiming to show the hijacking of the Jaffar Express in Pakistan by the",FALSE
Deepfake Video Of Mia Khalifa Calling Hardik Pandya Her Favourite Cricketer Goes Viral,https://newschecker.in/ai-deepfake/deepfake-video-of-mia-khalifa-calling-hardik-pandya-her-favourite-cricketer-goes-viral,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-12.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 11, 2025",Former adult star Mia Khalifa says that Hardik Pandya is her favourite cricketer.,TRUE
Viral Video Of Shami Apologising For Breaking Ramadan Fast During Champions Trophy Is Edited,https://newschecker.in/ai-deepfake/viral-video-of-shami-apologising-for-breaking-ramadan-fast-during-champions-trophy-is-edited,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-11T141622.839.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 11, 2025",Several social media users shared a video claiming to show Indian pacer Mohammad Shami apologising for breaking Ramadan fast during the ICC Champions Troph...,FALSE
Video Claiming To Show Team India’s Grand Welcome At Dubai Hotel After Champions Trophy Win Is Old,https://newschecker.in/fact-check/2025-champions-trophy-old-video-shared-as-team-indias-grand-welcome-at-hotel-after-win-in-final,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-11.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 11, 2025","Viral video dates back to March 2, 2025.",FALSE
2025 Champions Trophy: Here’s The Truth Behind Viral Videos Claiming To Show Celebrations In Afghanistan After India’s Win,https://newschecker.in/fact-check/2025-champions-trophy-heres-the-truth-behind-viral-videos-claiming-to-show-celebrations-in-afghanistan-after-indias-win,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-10T160930.502.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 10, 2025",Several social media users shared videos claiming to show massive celebrations in Afghanistan following India's win in the 2025 ICC Champions Trophy. Newsche...,FALSE
"Old, Unrelated Video Shared As Footage From Air India Flight Forced To Return To US Due To Clogged Toilets",https://newschecker.in/fact-check/old-unrelated-video-shared-as-footage-from-air-india-flight-forced-to-return-to-us-due-to-clogged-toilets,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-10.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 10, 2025","Viral video dates back to January 6, 2025.",FALSE
"Weekly Wrap: Misinformation On 2025 Champions Trophy, Deepfake Of Donald Trump & More",https://newschecker.in/fact-check/weekly-wrap-misinformation-on-2025-champions-trophy-deepfake-of-donald-trump-more,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-08T145510.071.jpg?quality=71&format=webp&w=1920,Newschecker Team,"March 8, 2025",From misinformation around the ICC Champions Trophy semi-final match between India and Australia to a deepfake...,TRUE
Viral Photo Of Pakistan Army Chief Asim Munir With PM Modi Is AI-Generated,https://newschecker.in/ai-deepfake/viral-photo-of-pakistan-army-chief-asim-munir-with-pm-modi-is-ai-generated,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-08T130906.266.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 8, 2025","Several social media user shared a photograph claiming to show Pakistan Army Chief Asim Munir with PM Modi. Newschecker, however, found the photo to be AI...",FALSE
Fake Transcript Of Fiery Trump-Zelenskyy Exchange In Oval Office Goes Viral,https://newschecker.in/fact-check/fake-transcript-of-fiery-trump-zelenskyy-exchange-in-oval-office-goes-viral,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-9.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 8, 2025",Viral transcript found to be fabricated.,TRUE
Hashim Amla Scored Triple-Century While Fasting For Ramadan? Here’s The Truth Behind Viral Claim,https://newschecker.in/fact-check/hashim-amla-scored-triple-century-while-fasting-for-ramadan-heres-the-truth-behind-viral-claim,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-07T154738.235.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 7, 2025",Several social media users claimed that former South African cricketer Hashim Amla scored triple-century while fasting for Ramadan during a 2012 match again...,FALSE
Elon Musk’s Deepfake Videos on BJP-RSS Conspiracy in Arunachal Pradesh Debunked,https://newschecker.in/ai-deepfake/elon-musks-deepfake-videos-on-bjp-rss-conspiracy-in-arunachal-pradesh-debunked,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-8.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 7, 2025",The videos circulating with this claim have been identified as deepfakes - they are AI-generated and not authentic.,TRUE
"Cow Urine Has Anti-Infective Properties, Can Cure Ailments? Here’s What The Experts Say About IIT-M Director’s Claims",https://newschecker.in/health-and-wellness/cow-urine-has-anti-infective-properties-can-cure-ailments-heres-what-the-experts-say-about-iit-m-directors-claims,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-7.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 7, 2025","IIT-Madras (IIT-M) director V Kamakoti waded into a controversy in the beginning of the year when he praised the “medicinal value” of gomutra (cow urine),",FALSE
2025 Champions Trophy: Old Video Of Australian Fan Chanting ‘Bharat Mata Ki Jai’ Shared As Recent,https://newschecker.in/fact-check/2025-champions-trophy-old-video-of-australian-fan-chanting-bharat-mata-ki-jai-shared-as-recent,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-06T135833.013.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 6, 2025",Several social media users shared a video allegedly showing an Australian fan chanting 'Bharat Mata Ki Jai' and 'Vande Mataram' after his team lost the semi....,FALSE
Deepfake Video Of Trump Exposing RSS Plan To Instigate Ethnic Clashes In Arunachal Pradesh Shared As Real,https://newschecker.in/ai-deepfake/deepfake-video-of-trump-exposing-rss-plan-to-instigate-ethnic-clashes-in-arunachal-pradesh-shared-as-real,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-6.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 6, 2025",Viral video found to be a deepfake.,TRUE
2025 Champions Trophy: Does This Video Show Fireworks At Dubai Stadium After India Entered Finals?,https://newschecker.in/fact-check/2025-champions-trophy-does-this-video-show-fireworks-at-dubai-stadium-after-india-entered-finals,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-05T180848.117.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 5, 2025",Several social media users shared a video claiming to show celebratory fireworks at Dubai stadium after the Indian cricket team defeated Australia in the sem...,FALSE
2025 Champions Trophy: AI-Generated Photos Of Virat Kohli With Anushka Sharma Go Viral,https://newschecker.in/ai-deepfake/india-beat-australia-at-champions-trophy-ai-generated-photos-of-virat-kohli-with-anushka-sharma-go-viral,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-5.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 5, 2025",Photos of Virat Kohli and Anushka Sharma celebrating India’s victory over Australia in the Champions Trophy semi-final on March 4.,FALSE
2025 Champions Trophy: Photos Of Travis Head Breaking Down After Australia’s Loss To India Are AI Generated,https://newschecker.in/ai-deepfake/2025-champions-trophy-photos-of-travis-head-breaking-down-after-australias-loss-to-india-are-ai-generated,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-05T130826.598.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 5, 2025",Several social media users shared two photographs allegedly showing Travis Head breaking down after Australia lost the recent Champions Trophy semi-final mat...,FALSE
"‘No More Australian Team In This Competition’: Viral Rohit Sharma Quote Is From 2024 T20 World Cup, Not After 2025 Champions Trophy Semi-Final Win",https://newschecker.in/fact-check/no-more-australian-team-in-this-competition-viral-rohit-sharma-quote-is-from-2024-t20-world-cup-not-after-2025-champions-trophy-semi-final-win,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-1-1.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 5, 2025",Rohit Sharma’s quote was from a pre-match press conference during the 2024 T20 World Cup.,FALSE
Old Video Of Rohit Sharma Revived Amid Row Over Shama Mohamed’s Remark On His Fitness,https://newschecker.in/fact-check/old-video-of-rohit-sharma-revived-amid-row-over-congress-leader-shama-mohameds-remark-on-his-fitness,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-04T190139.222.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 4, 2025","Amid the ongoing controversy over Congress leader Shama Mohamed’s remark on Rohit Sharma, an alleged video of the cricketer saying that is not affected by wh...",FALSE
Viral Photo Of Shreyas Iyer With Dhanashree Verma Is AI-Generated,https://newschecker.in/ai-deepfake/viral-photo-of-shreyas-iyer-with-dhanashree-verma-is-ai-generated,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-4.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 4, 2025",Photo of Indian cricketer Shreyas Iyer with choreographer Dhanashree Verma at the beach.,FALSE
Viral Photos Of Zelenskyy In Suit Predate 2022 Russian Invasion Of Ukraine,https://newschecker.in/fact-check/viral-photos-of-zelenskyy-in-suit-predate-2022-russian-invasion-of-ukraine,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-04T132644.935.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 4, 2025","Several social media users are sharing Ukrainian President Volodymyr Zelenskyy in suit while meeting French President Emmanuel Macron, founder and executive...",FALSE
AI-Generated Image Of Students Holding #GetOutStalin Poster Goes Viral,https://newschecker.in/ai-deepfake/ai-generated-image-of-students-holding-getoutstalin-poster-goes-viral,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-3.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 4, 2025","School students hold #GetOutStalin poster, protesting against Tamil Nadu chief minister MK Stalin.",FALSE
Deepfake Video Of Nirmala Sitharaman Endorsing Investment Project Goes Viral,https://newschecker.in/ai-deepfake/deepfake-video-of-nirmala-sitharaman-endorsing-investment-project-goes-viral,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-2.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 3, 2025",Viral video found to be a deepfake.,TRUE
"Oscars 2025: Robert De Niro Swears At Trump? No, Viral Video Is From 2018 Tony Awards",https://newschecker.in/fact-check/oscars-2025-robert-de-niro-swears-at-trump-no-viral-video-is-from-2018-tony-awards,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 3, 2025",81-year-old actor Robert De Niro swears at US president Donald Trump while presenting at the 97th Academy Awards in Los Angeles on March 2 (Sunday).,FALSE
"Weekly Wrap: Misinformation On India Vs Pak Champions Trophy Match, Mahakumbh & More",https://newschecker.in/fact-check/weekly-wrap-misinformation-on-india-vs-pak-champions-trophy-match-mahakumbh-more,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-01T151203.967.jpg?quality=71&format=webp&w=1920,Newschecker Team,"March 1, 2025",From misinformation around the recent India vs Pakistan cricket match during the ICC Champions Trophy to false claims of newly elected Delhi Chief Rekha Gup...,TRUE
